m1612-C-2200,780
m1612-C-2250,734
m1612-C-2300,689
m1612-C-2350,645
m1612-C-2400,602.5
m1612-C-2450,561
m1612-C-2500,520.5
m1612-C-2550,482
m1612-C-2600,445
m1612-C-2650,410
m1612-C-2700,376
m1612-C-2750,344.5
m1612-C-2800,314.5
m1612-C-2850,286
m1612-C-2900,260
m1612-C-2950,235
m1612-C-3000,212.5
m1612-C-3050,191.5
m1612-C-3100,172
m1612-C-3150,154
m1612-C-3200,137.5
m1612-C-3250,122.5
m1612-C-3300,109
m1612-C-3350,96.5
m1612-C-3400,85.5
m1612-C-3450,75.5
m1612-C-3500,66.5
m1612-C-3550,58.5
m1612-C-3600,51.5
m1612-C-3650,45
m1612-C-3700,39.5
m1612-P-2200,12
m1612-P-2250,16
m1612-P-2300,21
m1612-P-2350,27
m1612-P-2400,34
m1612-P-2450,42.5
m1612-P-2500,52.5
m1612-P-2550,64
m1612-P-2600,76.5
m1612-P-2650,91.5
m1612-P-2700,107.5
m1612-P-2750,126
m1612-P-2800,145.5
m1612-P-2850,167.5
m1612-P-2900,191
m1612-P-2950,216.5
m1612-P-3000,243.5
m1612-P-3050,272
m1612-P-3100,302.5
m1612-P-3150,334.5
m1612-P-3200,368
m1612-P-3250,403
m1612-P-3300,439.5
m1612-P-3350,477
m1612-P-3400,516
m1612-P-3450,556
m1612-P-3500,597
m1612-P-3550,639
m1612-P-3600,681.5
m1612-P-3650,725.5
m1612-P-3700,769.5
m1703-C-2250,744
m1703-C-2300,711.5
m1703-C-2350,680
m1703-C-2400,649.5
m1703-C-2450,620
m1703-C-2500,591.5
m1703-C-2550,564
m1703-C-2600,538
m1703-C-2650,512.5
m1703-C-2700,488
m1703-C-2750,465
m1703-C-2800,442.5
m1703-C-2850,421
m1703-C-2900,400.5
m1703-C-2950,380.5
m1703-C-3000,362
m1703-C-3050,344
m1703-C-3100,326.5
m1703-C-3150,310
m1703-C-3200,294.5
m1703-C-3250,279.5
m1703-C-3300,265.5
m1703-C-3350,251.5
m1703-C-3400,239
m1703-C-3450,226.5
m1703-C-3500,214.5
m1703-C-3550,203.5
m1703-P-2250,154
m1703-P-2300,171
m1703-P-2350,189.5
m1703-P-2400,208.5
m1703-P-2450,229
m1703-P-2500,250
m1703-P-2550,272.5
m1703-P-2600,296
m1703-P-2650,320.5
m1703-P-2700,346
m1703-P-2750,372.5
m1703-P-2800,399.5
m1703-P-2850,428
m1703-P-2900,457
m1703-P-2950,487.5
m1703-P-3000,518
m1703-P-3050,550
m1703-P-3100,582.5
m1703-P-3150,616
m1703-P-3200,650
m1703-P-3250,684.5
m1703-P-3300,720.5
m1703-P-3350,756.5
m1703-P-3400,793.5
m1703-P-3450,830.5
m1703-P-3500,869
m1703-P-3550,907.5
m1707-C-2500,338
m1707-C-2550,303.5
m1707-C-2600,271
m1707-C-2650,241
m1707-C-2700,213
m1707-C-2750,187.5
m1707-C-2800,164.5
m1707-C-2850,143.5
m1707-C-2900,124.5
m1707-C-2950,107.5
m1707-C-3000,92.5
m1707-C-3050,79
m1707-P-2500,64
m1707-P-2550,79
m1707-P-2600,96.5
m1707-P-2650,116
m1707-P-2700,137.5
m1707-P-2750,162
m1707-P-2800,188
m1707-P-2850,216.5
m1707-P-2900,247.5
m1707-P-2950,280
m1707-P-3000,314.5
m1707-P-3050,351
m1708-C-2500,296
m1708-C-2550,261
m1708-C-2600,228.5
m1708-C-2650,198
m1708-C-2700,171
m1708-C-2750,146
m1708-C-2800,124
m1708-C-2850,104.5
m1708-C-2900,87.5
m1708-C-2950,73
m1708-C-3000,60
m1708-C-3050,49
m1708-C-3100,40
m1708-P-2500,50.5
m1708-P-2550,64.5
m1708-P-2600,81.5
m1708-P-2650,101
m1708-P-2700,123.5
m1708-P-2750,148
m1708-P-2800,175.5
m1708-P-2850,206
m1708-P-2900,238.5
m1708-P-2950,273
m1708-P-3000,310
m1708-P-3050,348.5
m1708-P-3100,389
m1709-C-2550,348
m1709-C-2600,319
m1709-C-2650,292.5
m1709-C-2700,267
m1709-C-2750,243.5
m1709-C-2800,221.5
m1709-C-2850,201
m1709-C-2900,182.5
m1709-C-2950,165
m1709-P-2550,144
m1709-P-2600,165
m1709-P-2650,187.5
m1709-P-2700,211.5
m1709-P-2750,237.5
m1709-P-2800,265
m1709-P-2850,294.5
m1709-P-2900,325
m1709-P-2950,357
